Row Labels,Count of taxonomy_group
Achziv10,12272
Achziv25,12368
Achziv45,12432
Ashdod30,9504
Ashkelon30,9136
Naharia45,11296
SdotYam10,11808
SdotYam25,12320
SdotYam45,9456
Sharon30,4144
Grand Total,104736
